Job title ,Hiring Company,Comapny Address,Shift,Links
Branch Manager,Zikry-Pharmacies ,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/huu0mSyo6Sc2-Branch-Manager-Zikry-Pharmacies-Cairo-Egypt?o=79&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Senior Registration Specialist,Atco Pharma For Pharmaceutical Industries,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/q7j3UPqRGQ7v-Senior-Registration-Specialist-Atco-Pharma-For-Pharmaceutical-Industries-Cairo-Egypt?o=80&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Devices Sales Representative,Reap Solutions,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/71BqQLRMTapO-Medical-Devices-Sales-Representative-Reap-Solutions-Cairo-Egypt?o=81&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Derma Sales Account Manager,Confidential -,"Mokattam, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Hp012H29xXHj-Derma-Sales-Account-Manager-Cairo-Egypt?o=82&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Sales Representative - Upper Egypt,Pharaonia Pharma,"Assiut, Egypt ",Full time,https://wuzzuf.net/jobs/p/xmZhYGEiEVlb-Medical-Sales-Representative---Upper-Egypt-Pharaonia-Pharma-Assiut-Egypt?o=83&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Product Specialist (Spectragel) - Heliopolis,PRT Scientific Office,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/KuuC2iXlIPHh-Product-Specialist-Spectragel---Heliopolis-PRT-Scientific-Office-Cairo-Egypt?o=84&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Registration Specialist,Atco Pharma For Pharmaceutical Industries,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/2I6PlvfTcaTp-Registration-Specialist-Atco-Pharma-For-Pharmaceutical-Industries-Cairo-Egypt?o=85&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Beauty Advisor/Indoor promoter,Dawaa Pharmacy,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/PudTICcIRbVp-Beauty-AdvisorIndoor-promoter-Dawaa-Pharmacy-Cairo-Egypt?o=86&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Representative - Sharqia,Delta Pharma Egypt,"Sharqia, Egypt ",Part time,https://wuzzuf.net/jobs/p/XqpKR87NLBID-Medical-Representative---Sharqia-Delta-Pharma-Egypt-Sharqia-Egypt?o=87&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Representative - Sohag,Delta Pharma Egypt,"Sohag, Egypt ",Shift based,https://wuzzuf.net/jobs/p/G4WNpH9eUVWa-Medical-Representative---Sohag-Delta-Pharma-Egypt-Sohag-Egypt?o=88&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
