Job title ,Hiring Company,Comapny Address,Shift,Links
Business Intelligence Analyst,WebBeds,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/KoDadFhKRFdj-Business-Intelligence-Analyst-WebBeds-Cairo-Egypt?o=66&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior MS SQL Server BI Engineer,Inovola,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/bvbpm7H7cpMJ-Senior-MS-SQL-Server-BI-Engineer-Inovola-Cairo-Egypt?o=67&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior MS SQL Server BI Engineer,Algoriza,"Cairo, Egypt ",Part time,https://wuzzuf.net/jobs/p/L4f6DcIlDzg1-Senior-MS-SQL-Server-BI-Engineer-Algoriza-Cairo-Egypt?o=68&l=sp&t=sj&a=data science|search-v3|hpb|spbg
IT Specialist,Confidential -,"Sheraton, Cairo, Egypt ",Work from home,https://wuzzuf.net/jobs/p/kQmpj1wbZu62-IT-Specialist-Cairo-Egypt?o=69&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Team Leader - Software Development,HyperPay,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/29wf9Ani4EPZ-Team-Leader---Software-Development-HyperPay-Cairo-Egypt?o=70&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior Database /BI Developer,Caelum Egypt,"Dokki, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/4sJErn0rk370-Senior-Database-BI-Developer-Caelum-Egypt-Giza-Egypt?o=71&l=sp&t=sj&a=data science|search-v3|hpb|spbg
IT Supervisor,EGYGAB Developments,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Sx3cNIh8LZvz-IT-Supervisor-EGYGAB-Developments-Cairo-Egypt?o=72&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Oracle Database Administrator,Xceed,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/skkBeD0IzcPp-Oracle-Database-Administrator-Xceed-Cairo-Egypt?o=73&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior IT Specialist,Confidential -,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/RgUQl7YohU6C-Senior-IT-Specialist-Giza-Egypt?o=74&l=sp&t=sj&a=data science|search-v3|hpb|spbg
ERP Project Coordinator,Rowad Modern Engineering,"15th May City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/VPTISafZ8HZx-ERP-Project-Coordinator-Rowad-Modern-Engineering-Cairo-Egypt?o=75&l=sp&t=sj&a=data science|search-v3|hpb|spbg
IT Specialist,Ray,"Dokki, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/KT2MXYg7glFf-IT-Specialist-Ray-Giza-Egypt?o=76&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Information Systems Section Head,Confidential -,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/ejV2GcQtqKx7-Information-Systems-Section-Head-Cairo-Egypt?o=77&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior DevOps Engineer / Senior DevOps Architect,Confidential -,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Yyj9xkaxuAOx-Senior-DevOps-Engineer-Senior-DevOps-Architect-Cairo-Egypt?o=78&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Medical Sales Representative,Confidential -,"khanka, Qalubia, Egypt ",Full time,https://wuzzuf.net/jobs/p/9rvKKGcxzInd-Medical-Sales-Representative-Qalubia-Egypt?o=79&l=sp&t=sj&a=data science|search-v3|hpb|spbg
NLP Engineer,Master Linux,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/67v9IcnKyNAn-NLP-Engineer-Master-Linux-Cairo-Egypt?o=80&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior React Native Mobile Developer,Confidential -,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/lrCbjpfkkLZr-Senior-React-Native-Mobile-Developer-Cairo-Egypt?o=81&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Security Officer,MUST,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/hYtawZOeM92a-Security-Officer-MUST-Giza-Egypt?o=82&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior.Net Developer,ICIS,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/1VS2OsNHfBST-SeniorNet-Developer-ICIS-Cairo-Egypt?o=83&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Technical Team Lead,Second profit  ,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/pxkLKcuX8Wqh-Technical-Team-Lead-Second-profit-Cairo-Egypt?o=84&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Software Sales Representative,Sadeem,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/FwZUT1o8a65P-Software-Sales-Representative-Sadeem-Giza-Egypt?o=85&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Software Development Support Engineer,ITIDA,"6th of October, Giza, Egypt ",Part time,https://wuzzuf.net/jobs/p/o0SevKp1ePcX-Software-Development-Support-Engineer-ITIDA-Giza-Egypt?o=86&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior Machine Learning Engineer (NLP),Botit,"Downtown, Cairo, Egypt ",Freelance / Project,https://wuzzuf.net/jobs/p/8MPpHbAICLKQ-Senior-Machine-Learning-Engineer-NLP-Botit-Cairo-Egypt?o=87&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Telecommunications Engineer,Xceed,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/4gig9jgs6qqD-Telecommunications-Engineer-Xceed-Cairo-Egypt?o=88&l=sp&t=sj&a=data science|search-v3|hpb|spbg
QC - Microbiologist,Hikma Pharmaceuticals,"Badr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/m0LF9U9bgTgO-QC---Microbiologist-Hikma-Pharmaceuticals-Cairo-Egypt?o=89&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior NodeJS Backend Developer,Innovalz,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/x9HEP8pP1kBr-Senior-NodeJS-Backend-Developer-Innovalz-Giza-Egypt?o=90&l=sp&t=sj&a=data science|search-v3|hpb|spbg
Senior Full Stack Developer .Net Angular,Confidential -,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/4FnRJ9QXrQMq-Senior-Full-Stack-Developer-Net-Angular-Cairo-Egypt?o=91&l=sp&t=sj&a=data science|search-v3|hpb|spbg
